Material,Density,YieldStrength,ElasticModulus,Website
Aluminum 6061 Alloy (UNS A96061),2700.0,276.0,68.9,https://www.azom.com/article.aspx?ArticleID=6636 
Aluminum 3003 Alloy (UNS A93003),2730.0,125.0,70.0,https://www.azom.com/article.aspx?ArticleID=6618
Aluminum 6063 Alloy (UNS A96063),2700.0,48.0,70.0,https://www.azom.com/article.aspx?ArticleID=6637
AISI 1065 Carbon Steel (UNS G10650),7850.0,490.0,80.0,https://www.azom.com/article.aspx?ArticleID=6575 
Aluminum Alloy 3004 (UNS A93004),2600.0,170.0,70.0,https://www.azom.com/article.aspx?ArticleID=6619
AISI 4140 Alloy Steel (UNS G41400),7850.0,415.0,190.0,https://www.azom.com/article.aspx?ArticleID=6769
Aluminum 1199 Alloy (UNS A91199),2700.0,110.0,62.0,https://www.azom.com/article.aspx?ArticleID=8699
Aluminum 2017 Alloy (UNS A92017),2790.0,69.0,72.0,https://www.azom.com/article.aspx?ArticleID=8721
Aluminum 2090 Alloy (UNS A92090),2590.0,520.0,76.0,https://www.azom.com/article.aspx?ArticleID=8715
Aluminum 2218 Alloy (UNS A92218),2820.0,280.0,74.4,https://www.azom.com/article.aspx?ArticleID=8713
Aluminum 2219 Alloy (UNS A92219),2600.0,76.0,70.0,https://www.azom.com/article.aspx?ArticleID=6616
AISI 6150 Alloy Steel (UNS G61500),7850.0,415.0,190.0,https://www.azom.com/article.aspx?ArticleID=6744
AISI 8620 Alloy Steel (UNS G86200),7850.0,385.0,140.0,https://www.azom.com/article.aspx?ArticleID=6754
Stainless Steel - Grade 304 (UNS S30400),8000.0,515.0,193.0,https://www.azom.com/article.aspx?ArticleID=965 
Stainless Steel - Grade 321 (UNS S32100),8027.0,515.0,193.0,https://www.azom.com/article.aspx?ArticleID=967
AISI 1018 Carbon Steel  (UNS G10180),7870.0,370.0,205.0,https://www.azom.com/article.aspx?ArticleID=9138
AISI 1020 Carbon Steel  (UNS G10200),7870.0,350.0,205.0,https://www.azom.com/article.aspx?ArticleID=9145
Brass CZ114,7870.0,350.0,205.0,https://www.azom.com/article.aspx?ArticleID=2821
Brass CZ131,7870.0,350.0,205.0,https://www.azom.com/article.aspx?ArticleID=2824
Brass CZ108,7870.0,350.0,205.0,https://www.azom.com/article.aspx?ArticleID=2820
Brass CZ121,7870.0,350.0,205.0,https://www.azom.com/article.aspx?ArticleID=2822
Medium Leaded Brass UNS C35000,8470.0,90.0,117.0,https://www.azom.com/article.aspx?ArticleID=6375
Brass – Copper Alloy UNS C46400,8410.0,172.0,117.0,https://www.azom.com/article.aspx?ArticleID=6409
Aluminum 3105 Alloy (UNS A93015),2600.0,130.0,70.0,https://www.azom.com/article.aspx?ArticleID=6620
AISI 8620 Alloy Steel (UNS G86200),7850.0,385.0,190.0,https://www.azom.com/article.aspx?ArticleID=6754
Stainless Steel - Grade 301 (UNS S30100),7880.0,276.0,193.0,https://www.azom.com/article.aspx?ArticleID=960
AISI 1065 Carbon Steel (UNS G10650),7850.0,490.0,200.0,https://www.azom.com/article.aspx?ArticleID=6575
Brass UNS C28000,8390.0,140.0,117.0,https://www.azom.com/article.aspx?ArticleID=6380
Brass Alloy UNS C44300,8530.0,124.0,117.0,https://www.azom.com/article.aspx?ArticleID=6371
Leaded High-Strength Yellow Brass UNS C86700,8320.0,290.0,117.0,https://www.azom.com/article.aspx?ArticleID=6506
Medium Leaded Brass UNS C34000,8470.0,103.0,117.0,https://www.azom.com/article.aspx?ArticleID=6396
